Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Perolehan,Chrome 71.0.3578.98,Perolehan scenario,2019-02-12 15:20:13,2019-02-12 15:22:35,2m - 22.321s,FAILED
,,,,,,
Test Cases/Perolehan/Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 71.0.3578.98,Select Perolehan and then select Pesanan Tempatan,2019-02-12 15:20:13,2019-02-12 15:21:35,1m - 21.967s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 71.0.3578.98,Open browser and input homepage URL ,2019-02-12 15:20:14,2019-02-12 15:20:20,6.819s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 71.0.3578.98,Input User Name,2019-02-12 15:20:20,2019-02-12 15:20:22,1.513s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 71.0.3578.98,Input Password,2019-02-12 15:20:22,2019-02-12 15:20:22,0.324s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 71.0.3578.98,,2019-02-12 15:20:22,2019-02-12 15:20:24,1.730s,PASSED
delay(10),Chrome 71.0.3578.98,,2019-02-12 15:20:24,2019-02-12 15:20:34,10.043s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 71.0.3578.98,,2019-02-12 15:20:34,2019-02-12 15:21:08,33.900s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 71.0.3578.98,Click on Menu Sisi to display Menu selections,2019-02-12 15:21:08,2019-02-12 15:21:09,0.621s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-12 15:21:09,2019-02-12 15:21:12,3.011s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 71.0.3578.98,Select Perolehan Sub-menu,2019-02-12 15:21:12,2019-02-12 15:21:12,0.183s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-12 15:21:12,2019-02-12 15:21:15,3.004s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/div_PesananTempatan""))",Chrome 71.0.3578.98,,2019-02-12 15:21:15,2019-02-12 15:21:15,0.232s,PASSED
delay(20),Chrome 71.0.3578.98,Pesanan Tempatan page loaded successfully,2019-02-12 15:21:15,2019-02-12 15:21:35,20.002s,PASSED
,,,,,,
Test Cases/Perolehan/Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru,Chrome 71.0.3578.98,,2019-02-12 15:21:35,2019-02-12 15:21:57,21.900s,FAILED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_REKODBARU""))",Chrome 71.0.3578.98,Click on Rekod Baru to create new record,2019-02-12 15:21:35,2019-02-12 15:21:36,0.160s,PASSED
delay(10),Chrome 71.0.3578.98,,2019-02-12 15:21:36,2019-02-12 15:21:46,10.004s,PASSED
mydate = new java.util.Date(),Chrome 71.0.3578.98,Get todays year and date,2019-02-12 15:21:46,2019-02-12 15:21:46,0.030s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 71.0.3578.98,Get todays date with format dd/MM/yyyy,2019-02-12 15:21:46,2019-02-12 15:21:46,0.004s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 71.0.3578.98,Get year with format yyyy,2019-02-12 15:21:46,2019-02-12 15:21:46,0.000s,PASSED
println(formattedDate),Chrome 71.0.3578.98,,2019-02-12 15:21:46,2019-02-12 15:21:46,0.008s,PASSED
println(formattedYear),Chrome 71.0.3578.98,,2019-02-12 15:21:46,2019-02-12 15:21:46,0.000s,PASSED
