Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01 Pesanan Tempatan Cara Bayaran EFT Tiada Pemfaktoran,Chrome 72.0.3626.121,Perolehan scenario,2019-03-13 16:03:27,2019-03-13 16:17:10,13m - 43.163s,PASSED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.121,Select Perolehan and then select Pesanan Tempatan,2019-03-13 16:03:28,2019-03-13 16:04:10,42.235s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.121,Open browser and input homepage URL ,2019-03-13 16:03:28,2019-03-13 16:03:32,4.105s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.121,Input User Name,2019-03-13 16:03:32,2019-03-13 16:03:33,0.869s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.121,Input Password,2019-03-13 16:03:33,2019-03-13 16:03:33,0.168s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.121,Click on Log Masuk button,2019-03-13 16:03:33,2019-03-13 16:03:34,1.131s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-13 16:03:34,2019-03-13 16:03:37,3.025s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.121,Change role to Penyedia PTJ,2019-03-13 16:03:37,2019-03-13 16:04:00,22.772s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.121,Click on Menu Sisi to display Menu selections,2019-03-13 16:04:00,2019-03-13 16:04:01,0.436s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-13 16:04:01,2019-03-13 16:04:04,3.010s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.121,Select Perolehan Sub-menu,2019-03-13 16:04:04,2019-03-13 16:04:04,0.080s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-13 16:04:04,2019-03-13 16:04:07,3.004s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 72.0.3626.121,Click on Menu sisi,2019-03-13 16:04:07,2019-03-13 16:04:07,0.143s,PASSED
assert true,Chrome 72.0.3626.121,,2019-03-13 16:04:07,2019-03-13 16:04:07,0.002s,PASSED
delay(3),Chrome 72.0.3626.121,Pesanan Tempatan page loaded successfully,2019-03-13 16:04:07,2019-03-13 16:04:10,3.005s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru - EFT,Chrome 72.0.3626.121,this is a test case to create REKOD BARU for Pesanan Tempatan,2019-03-13 16:04:10,2019-03-13 16:05:32,1m - 22.211s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_REKODBARU""))",Chrome 72.0.3626.121,Click on Rekod Baru to create new record,2019-03-13 16:04:10,2019-03-13 16:04:10,0.105s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-13 16:04:10,2019-03-13 16:04:13,3.006s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.121,Get todays year and date,2019-03-13 16:04:13,2019-03-13 16:04:13,0.002s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 72.0.3626.121,Get todays date with format dd/MM/yyyy,2019-03-13 16:04:13,2019-03-13 16:04:13,0.000s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 72.0.3626.121,Get year with format yyyy,2019-03-13 16:04:13,2019-03-13 16:04:13,0.000s,PASSED
println(formattedDate),Chrome 72.0.3626.121,print date in dd/mm/yyyy format,2019-03-13 16:04:13,2019-03-13 16:04:13,0.000s,PASSED
println(formattedYear),Chrome 72.0.3626.121,print year in yyyy format,2019-03-13 16:04:13,2019-03-13 16:04:13,0.000s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tahun_kewangan""))",Chrome 72.0.3626.121,Get the year of Tahun Kewangan,2019-03-13 16:04:13,2019-03-13 16:04:13,0.078s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 72.0.3626.121,Verify the year is a match,2019-03-13 16:04:13,2019-03-13 16:04:13,0.016s,PASSED
assert true,Chrome 72.0.3626.121,,2019-03-13 16:04:13,2019-03-13 16:04:13,0.000s,PASSED
"TarikhSemasa = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tarikhSemasa""))",Chrome 72.0.3626.121,Get the date of Tarikh Semasa,2019-03-13 16:04:13,2019-03-13 16:04:13,0.077s,PASSED
"verifyMatch(formattedDate, TarikhSemasa, false)",Chrome 72.0.3626.121,Verify the date is a match,2019-03-13 16:04:13,2019-03-13 16:04:13,0.002s,PASSED
"verifyElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Jenis Urusniaga""))",Chrome 72.0.3626.121,Verify Jenis Urusniaga is visible,2019-03-13 16:04:13,2019-03-13 16:04:13,0.053s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Jenis Urusniaga _textbox-ico""))",Chrome 72.0.3626.121,"Select from dropdown list of Jenis Urusniaga
",2019-03-13 16:04:13,2019-03-13 16:04:13,0.084s,PASSED
delay(2),Chrome 72.0.3626.121,Delay,2019-03-13 16:04:13,2019-03-13 16:04:16,2.005s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/div_Pesanan_Tempatan_Auto""))",Chrome 72.0.3626.121,select PESANAN TEMPATAN AUTO,2019-03-13 16:04:16,2019-03-13 16:04:16,0.120s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_No. Dokumen""), 0)",Chrome 72.0.3626.121,verify No.Dokumen label is present,2019-03-13 16:04:16,2019-03-13 16:04:16,0.039s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Tarikh Dokumen""), 0)",Chrome 72.0.3626.121,verify Tarikh Dokumen label is present,2019-03-13 16:04:16,2019-03-13 16:04:16,0.040s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Pembekal""), 0)",Chrome 72.0.3626.121,verify Pembekal label is present,2019-03-13 16:04:16,2019-03-13 16:04:16,0.021s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Cawangan Pembekal""), 0)",Chrome 72.0.3626.121,verify Cawangan Pembekal label is present,2019-03-13 16:04:16,2019-03-13 16:04:16,0.030s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Sila Bekalkan Sebelum at""), 0)",Chrome 72.0.3626.121,verify Sila Bekalkan Sebelum atau pada label is present,2019-03-13 16:04:16,2019-03-13 16:04:16,0.008s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Pembekal _textbox-icon combo""))",Chrome 72.0.3626.121,Click to select Pembekal drop-down,2019-03-13 16:04:16,2019-03-13 16:04:16,0.137s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Pembekal_AA_DUA""))",Chrome 72.0.3626.121,Select Pembekal from the list,2019-03-13 16:04:16,2019-03-13 16:04:16,0.084s,PASSED
delay(5),Chrome 72.0.3626.121,,2019-03-13 16:04:16,2019-03-13 16:04:21,5.005s,PASSED
"getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_No.Akaun Pembekal _textb""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Verify that No Akaun Pembekal is populated,2019-03-13 16:04:21,2019-03-13 16:04:21,0.047s,PASSED
"getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_Cawangan Pembekal _textb""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Verify that Cawangan Pembekal is populated,2019-03-13 16:04:21,2019-03-13 16:04:21,0.037s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja""))",Chrome 72.0.3626.121,Select date picker,2019-03-13 16:04:21,2019-03-13 16:04:21,0.085s,PASSED
delay(1),Chrome 72.0.3626.121,Delay,2019-03-13 16:04:21,2019-03-13 16:04:22,1.004s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja_Next_Month""))",Chrome 72.0.3626.121,Select for next month from date picker,2019-03-13 16:04:22,2019-03-13 16:04:22,0.072s,PASSED
delay(1),Chrome 72.0.3626.121,Delay,2019-03-13 16:04:22,2019-03-13 16:04:23,1.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja_Date""))",Chrome 72.0.3626.121,Select date,2019-03-13 16:04:23,2019-03-13 16:04:23,0.076s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Text_box_Perihal""), ""This is a test for PT - EFT automation scripts - Julia "" + mydate)",Chrome 72.0.3626.121,Input Perihal details,2019-03-13 16:04:23,2019-03-13 16:04:24,0.242s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-13 16:04:24,2019-03-13 16:04:27,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_TambahCajLine""))",Chrome 72.0.3626.121,Click button Tambah Caj Line,2019-03-13 16:04:27,2019-03-13 16:04:27,0.154s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-13 16:04:27,2019-03-13 16:04:30,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Drop_down_Vot_Dana""))",Chrome 72.0.3626.121,Click Vot Dana drop down to select a value,2019-03-13 16:04:30,2019-03-13 16:04:30,0.248s,PASSED
delay(8),Chrome 72.0.3626.121,,2019-03-13 16:04:30,2019-03-13 16:04:38,8.004s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Input_Vot_Dana""), 60)",Chrome 72.0.3626.121,,2019-03-13 16:04:38,2019-03-13 16:04:38,0.055s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Input_Vot_Dana""), ""B31"")",Chrome 72.0.3626.121,,2019-03-13 16:04:38,2019-03-13 16:04:38,0.192s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Vot_Dana_B31""), 60)",Chrome 72.0.3626.121,,2019-03-13 16:04:38,2019-03-13 16:04:38,0.045s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Vot_Dana_B31""))",Chrome 72.0.3626.121,Select Vot Dana B31,2019-03-13 16:04:38,2019-03-13 16:04:38,0.095s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-13 16:04:38,2019-03-13 16:04:41,3.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Drop_down_Program_Aktiviti""))",Chrome 72.0.3626.121,Click Program Aktiviti drop down to select a value,2019-03-13 16:04:41,2019-03-13 16:04:41,0.121s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-13 16:04:41,2019-03-13 16:04:44,3.004s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Program_010080""))",Chrome 72.0.3626.121,Select Program Aktiviti 010080,2019-03-13 16:04:44,2019-03-13 16:04:45,0.100s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-13 16:04:45,2019-03-13 16:04:48,3.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Drop_down_Kod_Akaun""))",Chrome 72.0.3626.121,Click Kod Akaun drop down to select a value,2019-03-13 16:04:48,2019-03-13 16:04:48,0.141s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-13 16:04:48,2019-03-13 16:04:51,3.004s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_kod_akaun""), ""B0221101"")",Chrome 72.0.3626.121,Search for Kod Akaun B0221101,2019-03-13 16:04:51,2019-03-13 16:04:51,0.346s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-13 16:04:51,2019-03-13 16:04:54,3.003s,PASSED
