Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Perolehan,Chrome 72.0.3626.109,Perolehan scenario,2019-02-20 11:05:11,2019-02-20 11:18:05,12m - 53.521s,FAILED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.109,Select Perolehan and then select Pesanan Tempatan,2019-02-20 11:05:12,2019-02-20 11:06:27,1m - 15.730s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.109,Open browser and input homepage URL ,2019-02-20 11:05:12,2019-02-20 11:05:16,3.756s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.109,Input User Name,2019-02-20 11:05:16,2019-02-20 11:05:17,0.756s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.109,Input Password,2019-02-20 11:05:17,2019-02-20 11:05:17,0.180s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.109,Click on Log Masuk button,2019-02-20 11:05:17,2019-02-20 11:05:18,1.068s,PASSED
delay(10),Chrome 72.0.3626.109,Delay,2019-02-20 11:05:18,2019-02-20 11:05:28,10.029s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.109,Change role to Penyedia PTJ,2019-02-20 11:05:28,2019-02-20 11:06:01,32.759s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.109,Click on Menu Sisi to display Menu selections,2019-02-20 11:06:01,2019-02-20 11:06:01,0.426s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.109,Delay,2019-02-20 11:06:01,2019-02-20 11:06:04,3.008s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.109,Select Perolehan Sub-menu,2019-02-20 11:06:04,2019-02-20 11:06:04,0.085s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.109,Delay,2019-02-20 11:06:04,2019-02-20 11:06:07,3.003s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 72.0.3626.109,Click on Menu sisi,2019-02-20 11:06:07,2019-02-20 11:06:07,0.144s,PASSED
assert true,Chrome 72.0.3626.109,,2019-02-20 11:06:07,2019-02-20 11:06:07,0.001s,PASSED
delay(20),Chrome 72.0.3626.109,Pesanan Tempatan page loaded successfully,2019-02-20 11:06:07,2019-02-20 11:06:27,20.003s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru,Chrome 72.0.3626.109,,2019-02-20 11:06:27,2019-02-20 11:08:12,1m - 44.481s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_REKODBARU""))",Chrome 72.0.3626.109,Click on Rekod Baru to create new record,2019-02-20 11:06:28,2019-02-20 11:06:28,0.083s,PASSED
delay(10),Chrome 72.0.3626.109,Delay,2019-02-20 11:06:28,2019-02-20 11:06:38,10.005s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.109,Get todays year and date,2019-02-20 11:06:38,2019-02-20 11:06:38,0.007s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 72.0.3626.109,Get todays date with format dd/MM/yyyy,2019-02-20 11:06:38,2019-02-20 11:06:38,0.003s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 72.0.3626.109,Get year with format yyyy,2019-02-20 11:06:38,2019-02-20 11:06:38,0.000s,PASSED
println(formattedDate),Chrome 72.0.3626.109,print date in dd/mm/yyyy format,2019-02-20 11:06:38,2019-02-20 11:06:38,0.003s,PASSED
println(formattedYear),Chrome 72.0.3626.109,print year in yyyy format,2019-02-20 11:06:38,2019-02-20 11:06:38,0.001s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tahun_kewangan""))",Chrome 72.0.3626.109,Get the year of Tahun Kewangan,2019-02-20 11:06:38,2019-02-20 11:06:38,0.129s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 72.0.3626.109,Verify the year is a match,2019-02-20 11:06:38,2019-02-20 11:06:38,0.010s,PASSED
assert true,Chrome 72.0.3626.109,,2019-02-20 11:06:38,2019-02-20 11:06:38,0.001s,PASSED
"TarikhSemasa = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tarikhSemasa""))",Chrome 72.0.3626.109,Get the date of Tarikh Semasa,2019-02-20 11:06:38,2019-02-20 11:06:38,0.038s,PASSED
"verifyMatch(formattedDate, TarikhSemasa, false)",Chrome 72.0.3626.109,Verify the date is a match,2019-02-20 11:06:38,2019-02-20 11:06:38,0.001s,PASSED
"verifyElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Jenis Urusniaga""))",Chrome 72.0.3626.109,Verify Jenis Urusniaga is visible,2019-02-20 11:06:38,2019-02-20 11:06:38,0.046s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Jenis Urusniaga _textbox-ico""))",Chrome 72.0.3626.109,"Select from dropdown list of Jenis Urusniaga
",2019-02-20 11:06:38,2019-02-20 11:06:38,0.111s,PASSED
delay(2),Chrome 72.0.3626.109,Delay,2019-02-20 11:06:38,2019-02-20 11:06:40,2.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/div_Pesanan_Tempatan_Auto""))",Chrome 72.0.3626.109,select PESANAN TEMPATAN AUTO,2019-02-20 11:06:40,2019-02-20 11:06:40,0.102s,PASSED
