Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
02 Pesanan Tempatan Cara Bayaran CEK Dengan Pemfaktoran,Chrome 72.0.3626.119,,2019-03-04 16:38:10,2019-03-04 17:01:39,23m - 29.135s,FAILED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.119,Select Perolehan and then select Pesanan Tempatan,2019-03-04 16:38:11,2019-03-04 16:39:05,54.097s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.119,Open browser and input homepage URL ,2019-03-04 16:38:11,2019-03-04 16:38:16,4.410s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.119,Input User Name,2019-03-04 16:38:16,2019-03-04 16:38:17,1.540s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.119,Input Password,2019-03-04 16:38:17,2019-03-04 16:38:17,0.265s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.119,Click on Log Masuk button,2019-03-04 16:38:17,2019-03-04 16:38:19,1.452s,PASSED
delay(3),Chrome 72.0.3626.119,Delay,2019-03-04 16:38:19,2019-03-04 16:38:22,3.034s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.119,Change role to Penyedia PTJ,2019-03-04 16:38:22,2019-03-04 16:38:55,32.930s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.119,Click on Menu Sisi to display Menu selections,2019-03-04 16:38:55,2019-03-04 16:38:55,0.515s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.119,Delay,2019-03-04 16:38:55,2019-03-04 16:38:58,3.009s,PASSED
