Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01 Pesanan Tempatan Cara Bayaran EFT Tiada Pemfaktoran,Chrome 73.0.3683.86,Perolehan scenario,2019-04-05 11:38:53,2019-04-05 11:45:55,7m - 2.350s,PASSED
,,,,,,
Test Cases/Perolehan/006 Arahan Bayaran/009 Penyemak Pesanan Tempatan,Chrome 73.0.3683.86,Penyemak will check the record and click Semak button to verify,2019-04-05 11:38:53,2019-04-05 11:40:14,1m - 20.418s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 73.0.3683.86,open browser and enter ispek URL,2019-04-05 11:38:54,2019-04-05 11:39:00,6.026s,PASSED
"reusablefunctions.reusablefunctions.Login(PenyemakPTJ, findTestData(""ispekstestdata"").getValue(2, 5))",Chrome 73.0.3683.86,,2019-04-05 11:39:00,2019-04-05 11:39:11,11.306s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/IconTukarPeranan""))",Chrome 73.0.3683.86,Click on icon Tukar Peranan,2019-04-05 11:39:11,2019-04-05 11:39:11,0.082s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/input_TukarPeranan"", [""value"":RBPenyemakPTJ]))",Chrome 73.0.3683.86,Click Radio Button Penyedia PTJ,2019-04-05 11:39:11,2019-04-05 11:39:11,0.093s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/button_Ya""))",Chrome 73.0.3683.86,Click Ya to confirm change of role,2019-04-05 11:39:11,2019-04-05 11:39:11,0.068s,PASSED
delay(20),Chrome 73.0.3683.86,,2019-04-05 11:39:11,2019-04-05 11:39:31,20.003s,PASSED
"verifyTextPresent(""Peranan : [Penyemak] Peringkat : [PTJ]"", false)",Chrome 73.0.3683.86,Verify Peranan is now Penyemak PTJ,2019-04-05 11:39:31,2019-04-05 11:39:32,0.657s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-05 11:39:32,2019-04-05 11:39:37,5.003s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 73.0.3683.86,Click on Menu Sisi to display Menu selections,2019-04-05 11:39:37,2019-04-05 11:39:37,0.337s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-04-05 11:39:37,2019-04-05 11:39:40,3.009s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 73.0.3683.86,Select Perolehan Sub-menu,2019-04-05 11:39:40,2019-04-05 11:39:40,0.066s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-04-05 11:39:40,2019-04-05 11:39:43,3.003s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_Menu_ArahanBayaran""))",Chrome 73.0.3683.86,Click on Menu sisi and select Arahan Bayaran,2019-04-05 11:39:43,2019-04-05 11:39:44,0.095s,PASSED
assert true,Chrome 73.0.3683.86,,2019-04-05 11:39:44,2019-04-05 11:39:44,0.002s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-04-05 11:39:44,2019-04-05 11:39:47,3.005s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/input_TABLE_NAME_noRekod""), ArahanBayaranRekodID)",Chrome 73.0.3683.86,input arahan bayaran record id,2019-04-05 11:39:47,2019-04-05 11:39:47,0.257s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-04-05 11:39:47,2019-04-05 11:39:50,3.003s,PASSED
"doubleClick(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/select_noRekod"", [""text"":ArahanBayaranRekodID]))",Chrome 73.0.3683.86,double click on the record id after filter,2019-04-05 11:39:50,2019-04-05 11:39:50,0.108s,PASSED
