Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01 Pesanan Tempatan Cara Bayaran EFT Tiada Pemfaktoran,Chrome 72.0.3626.119,Perolehan scenario,2019-03-05 12:08:43,2019-03-05 12:21:53,13m - 10.179s,PASSED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.119,Select Perolehan and then select Pesanan Tempatan,2019-03-05 12:08:43,2019-03-05 12:09:25,42.259s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.119,Open browser and input homepage URL ,2019-03-05 12:08:43,2019-03-05 12:08:47,4.123s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.119,Input User Name,2019-03-05 12:08:47,2019-03-05 12:08:48,0.877s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.119,Input Password,2019-03-05 12:08:48,2019-03-05 12:08:49,0.152s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.119,Click on Log Masuk button,2019-03-05 12:08:49,2019-03-05 12:08:50,1.242s,PASSED
delay(3),Chrome 72.0.3626.119,Delay,2019-03-05 12:08:50,2019-03-05 12:08:53,3.022s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.119,Change role to Penyedia PTJ,2019-03-05 12:08:53,2019-03-05 12:09:15,22.711s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.119,Click on Menu Sisi to display Menu selections,2019-03-05 12:09:15,2019-03-05 12:09:16,0.424s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.119,Delay,2019-03-05 12:09:16,2019-03-05 12:09:19,3.008s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.119,Select Perolehan Sub-menu,2019-03-05 12:09:19,2019-03-05 12:09:19,0.089s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.119,Delay,2019-03-05 12:09:19,2019-03-05 12:09:22,3.003s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 72.0.3626.119,Click on Menu sisi,2019-03-05 12:09:22,2019-03-05 12:09:22,0.170s,PASSED
assert true,Chrome 72.0.3626.119,,2019-03-05 12:09:22,2019-03-05 12:09:22,0.002s,PASSED
delay(3),Chrome 72.0.3626.119,Pesanan Tempatan page loaded successfully,2019-03-05 12:09:22,2019-03-05 12:09:25,3.004s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru - EFT,Chrome 72.0.3626.119,this is a test case to create REKOD BARU for Pesanan Tempatan,2019-03-05 12:09:25,2019-03-05 12:10:42,1m - 17.145s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_REKODBARU""))",Chrome 72.0.3626.119,Click on Rekod Baru to create new record,2019-03-05 12:09:25,2019-03-05 12:09:26,0.104s,PASSED
delay(3),Chrome 72.0.3626.119,Delay,2019-03-05 12:09:26,2019-03-05 12:09:29,3.004s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.119,Get todays year and date,2019-03-05 12:09:29,2019-03-05 12:09:29,0.006s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 72.0.3626.119,Get todays date with format dd/MM/yyyy,2019-03-05 12:09:29,2019-03-05 12:09:29,0.002s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 72.0.3626.119,Get year with format yyyy,2019-03-05 12:09:29,2019-03-05 12:09:29,0.000s,PASSED
println(formattedDate),Chrome 72.0.3626.119,print date in dd/mm/yyyy format,2019-03-05 12:09:29,2019-03-05 12:09:29,0.003s,PASSED
println(formattedYear),Chrome 72.0.3626.119,print year in yyyy format,2019-03-05 12:09:29,2019-03-05 12:09:29,0.001s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tahun_kewangan""))",Chrome 72.0.3626.119,Get the year of Tahun Kewangan,2019-03-05 12:09:29,2019-03-05 12:09:29,0.045s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 72.0.3626.119,Verify the year is a match,2019-03-05 12:09:29,2019-03-05 12:09:29,0.006s,PASSED
assert true,Chrome 72.0.3626.119,,2019-03-05 12:09:29,2019-03-05 12:09:29,0.000s,PASSED
"TarikhSemasa = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tarikhSemasa""))",Chrome 72.0.3626.119,Get the date of Tarikh Semasa,2019-03-05 12:09:29,2019-03-05 12:09:29,0.047s,PASSED
"verifyMatch(formattedDate, TarikhSemasa, false)",Chrome 72.0.3626.119,Verify the date is a match,2019-03-05 12:09:29,2019-03-05 12:09:29,0.002s,PASSED
"verifyElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Jenis Urusniaga""))",Chrome 72.0.3626.119,Verify Jenis Urusniaga is visible,2019-03-05 12:09:29,2019-03-05 12:09:29,0.035s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Jenis Urusniaga _textbox-ico""))",Chrome 72.0.3626.119,"Select from dropdown list of Jenis Urusniaga
",2019-03-05 12:09:29,2019-03-05 12:09:29,0.089s,PASSED
delay(2),Chrome 72.0.3626.119,Delay,2019-03-05 12:09:29,2019-03-05 12:09:31,2.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/div_Pesanan_Tempatan_Auto""))",Chrome 72.0.3626.119,select PESANAN TEMPATAN AUTO,2019-03-05 12:09:31,2019-03-05 12:09:31,0.088s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_No. Dokumen""), 0)",Chrome 72.0.3626.119,verify No.Dokumen label is present,2019-03-05 12:09:31,2019-03-05 12:09:31,0.030s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Tarikh Dokumen""), 0)",Chrome 72.0.3626.119,verify Tarikh Dokumen label is present,2019-03-05 12:09:31,2019-03-05 12:09:31,0.038s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Pembekal""), 0)",Chrome 72.0.3626.119,verify Pembekal label is present,2019-03-05 12:09:31,2019-03-05 12:09:31,0.020s,PASSED
