Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Perolehan,Chrome 72.0.3626.119,Perolehan scenario,2019-02-28 16:05:48,2019-02-28 16:19:12,13m - 23.895s,PASSED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.119,Select Perolehan and then select Pesanan Tempatan,2019-02-28 16:05:49,2019-02-28 16:06:46,57.563s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.119,Open browser and input homepage URL ,2019-02-28 16:05:49,2019-02-28 16:05:53,4.000s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.119,Input User Name,2019-02-28 16:05:53,2019-02-28 16:05:54,0.871s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.119,Input Password,2019-02-28 16:05:54,2019-02-28 16:05:54,0.196s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.119,Click on Log Masuk button,2019-02-28 16:05:54,2019-02-28 16:05:59,5.056s,PASSED
delay(3),Chrome 72.0.3626.119,Delay,2019-02-28 16:05:59,2019-02-28 16:06:02,3.022s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.119,Change role to Penyedia PTJ,2019-02-28 16:06:02,2019-02-28 16:06:36,34.269s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.119,Click on Menu Sisi to display Menu selections,2019-02-28 16:06:36,2019-02-28 16:06:37,0.428s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.119,Delay,2019-02-28 16:06:37,2019-02-28 16:06:40,3.008s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.119,Select Perolehan Sub-menu,2019-02-28 16:06:40,2019-02-28 16:06:40,0.109s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.119,Delay,2019-02-28 16:06:40,2019-02-28 16:06:43,3.001s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 72.0.3626.119,Click on Menu sisi,2019-02-28 16:06:43,2019-02-28 16:06:43,0.141s,PASSED
assert true,Chrome 72.0.3626.119,,2019-02-28 16:06:43,2019-02-28 16:06:43,0.002s,PASSED
delay(3),Chrome 72.0.3626.119,Pesanan Tempatan page loaded successfully,2019-02-28 16:06:43,2019-02-28 16:06:46,3.004s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru,Chrome 72.0.3626.119,,2019-02-28 16:06:46,2019-02-28 16:08:00,1m - 13.620s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_REKODBARU""))",Chrome 72.0.3626.119,Click on Rekod Baru to create new record,2019-02-28 16:06:46,2019-02-28 16:06:47,0.151s,PASSED
delay(3),Chrome 72.0.3626.119,Delay,2019-02-28 16:06:47,2019-02-28 16:06:50,3.004s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.119,Get todays year and date,2019-02-28 16:06:50,2019-02-28 16:06:50,0.004s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 72.0.3626.119,Get todays date with format dd/MM/yyyy,2019-02-28 16:06:50,2019-02-28 16:06:50,0.003s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 72.0.3626.119,Get year with format yyyy,2019-02-28 16:06:50,2019-02-28 16:06:50,0.000s,PASSED
println(formattedDate),Chrome 72.0.3626.119,print date in dd/mm/yyyy format,2019-02-28 16:06:50,2019-02-28 16:06:50,0.000s,PASSED
println(formattedYear),Chrome 72.0.3626.119,print year in yyyy format,2019-02-28 16:06:50,2019-02-28 16:06:50,0.000s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tahun_kewangan""))",Chrome 72.0.3626.119,Get the year of Tahun Kewangan,2019-02-28 16:06:50,2019-02-28 16:06:50,0.064s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 72.0.3626.119,Verify the year is a match,2019-02-28 16:06:50,2019-02-28 16:06:50,0.007s,PASSED
assert true,Chrome 72.0.3626.119,,2019-02-28 16:06:50,2019-02-28 16:06:50,0.000s,PASSED
"TarikhSemasa = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tarikhSemasa""))",Chrome 72.0.3626.119,Get the date of Tarikh Semasa,2019-02-28 16:06:50,2019-02-28 16:06:50,0.078s,PASSED
"verifyMatch(formattedDate, TarikhSemasa, false)",Chrome 72.0.3626.119,Verify the date is a match,2019-02-28 16:06:50,2019-02-28 16:06:50,0.001s,PASSED
"verifyElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Jenis Urusniaga""))",Chrome 72.0.3626.119,Verify Jenis Urusniaga is visible,2019-02-28 16:06:50,2019-02-28 16:06:50,0.043s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Jenis Urusniaga _textbox-ico""))",Chrome 72.0.3626.119,"Select from dropdown list of Jenis Urusniaga
",2019-02-28 16:06:50,2019-02-28 16:06:50,0.092s,PASSED
delay(2),Chrome 72.0.3626.119,Delay,2019-02-28 16:06:50,2019-02-28 16:06:52,2.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/div_Pesanan_Tempatan_Auto""))",Chrome 72.0.3626.119,select PESANAN TEMPATAN AUTO,2019-02-28 16:06:52,2019-02-28 16:06:52,0.100s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_No. Dokumen""), 0)",Chrome 72.0.3626.119,verify No.Dokumen label is present,2019-02-28 16:06:52,2019-02-28 16:06:52,0.030s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Tarikh Dokumen""), 0)",Chrome 72.0.3626.119,verify Tarikh Dokumen label is present,2019-02-28 16:06:52,2019-02-28 16:06:52,0.019s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Pembekal""), 0)",Chrome 72.0.3626.119,verify Pembekal label is present,2019-02-28 16:06:52,2019-02-28 16:06:52,0.031s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Cawangan Pembekal""), 0)",Chrome 72.0.3626.119,verify Cawangan Pembekal label is present,2019-02-28 16:06:52,2019-02-28 16:06:52,0.016s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Sila Bekalkan Sebelum at""), 0)",Chrome 72.0.3626.119,verify Sila Bekalkan Sebelum atau pada label is present,2019-02-28 16:06:52,2019-02-28 16:06:52,0.038s,PASSED
