Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Perolehan,Chrome 72.0.3626.119,Perolehan scenario,2019-02-28 13:52:06,2019-02-28 14:07:33,15m - 27.736s,FAILED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.119,Select Perolehan and then select Pesanan Tempatan,2019-02-28 13:52:06,2019-02-28 13:53:00,53.899s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.119,Open browser and input homepage URL ,2019-02-28 13:52:07,2019-02-28 13:52:11,4.415s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.119,Input User Name,2019-02-28 13:52:11,2019-02-28 13:52:13,1.623s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.119,Input Password,2019-02-28 13:52:13,2019-02-28 13:52:13,0.257s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.119,Click on Log Masuk button,2019-02-28 13:52:13,2019-02-28 13:52:14,1.312s,PASSED
delay(3),Chrome 72.0.3626.119,Delay,2019-02-28 13:52:14,2019-02-28 13:52:17,3.050s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.119,Change role to Penyedia PTJ,2019-02-28 13:52:17,2019-02-28 13:52:50,32.927s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.119,Click on Menu Sisi to display Menu selections,2019-02-28 13:52:50,2019-02-28 13:52:51,0.486s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.119,Delay,2019-02-28 13:52:51,2019-02-28 13:52:54,3.007s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.119,Select Perolehan Sub-menu,2019-02-28 13:52:54,2019-02-28 13:52:54,0.163s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.119,Delay,2019-02-28 13:52:54,2019-02-28 13:52:57,3.001s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 72.0.3626.119,Click on Menu sisi,2019-02-28 13:52:57,2019-02-28 13:52:57,0.152s,PASSED
assert true,Chrome 72.0.3626.119,,2019-02-28 13:52:57,2019-02-28 13:52:57,0.002s,PASSED
delay(3),Chrome 72.0.3626.119,Pesanan Tempatan page loaded successfully,2019-02-28 13:52:57,2019-02-28 13:53:00,3.001s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru,Chrome 72.0.3626.119,,2019-02-28 13:53:00,2019-02-28 13:54:13,1m - 13.374s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_REKODBARU""))",Chrome 72.0.3626.119,Click on Rekod Baru to create new record,2019-02-28 13:53:00,2019-02-28 13:53:00,0.091s,PASSED
delay(3),Chrome 72.0.3626.119,Delay,2019-02-28 13:53:00,2019-02-28 13:53:03,3.003s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.119,Get todays year and date,2019-02-28 13:53:03,2019-02-28 13:53:03,0.005s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 72.0.3626.119,Get todays date with format dd/MM/yyyy,2019-02-28 13:53:03,2019-02-28 13:53:03,0.005s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 72.0.3626.119,Get year with format yyyy,2019-02-28 13:53:03,2019-02-28 13:53:03,0.000s,PASSED
println(formattedDate),Chrome 72.0.3626.119,print date in dd/mm/yyyy format,2019-02-28 13:53:03,2019-02-28 13:53:03,0.000s,PASSED
println(formattedYear),Chrome 72.0.3626.119,print year in yyyy format,2019-02-28 13:53:03,2019-02-28 13:53:03,0.000s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tahun_kewangan""))",Chrome 72.0.3626.119,Get the year of Tahun Kewangan,2019-02-28 13:53:03,2019-02-28 13:53:03,0.079s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 72.0.3626.119,Verify the year is a match,2019-02-28 13:53:03,2019-02-28 13:53:03,0.008s,PASSED
assert true,Chrome 72.0.3626.119,,2019-02-28 13:53:03,2019-02-28 13:53:03,0.003s,PASSED
"TarikhSemasa = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tarikhSemasa""))",Chrome 72.0.3626.119,Get the date of Tarikh Semasa,2019-02-28 13:53:03,2019-02-28 13:53:04,0.048s,PASSED
"verifyMatch(formattedDate, TarikhSemasa, false)",Chrome 72.0.3626.119,Verify the date is a match,2019-02-28 13:53:04,2019-02-28 13:53:04,0.000s,PASSED
"verifyElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Jenis Urusniaga""))",Chrome 72.0.3626.119,Verify Jenis Urusniaga is visible,2019-02-28 13:53:04,2019-02-28 13:53:04,0.057s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Jenis Urusniaga _textbox-ico""))",Chrome 72.0.3626.119,"Select from dropdown list of Jenis Urusniaga
",2019-02-28 13:53:04,2019-02-28 13:53:04,0.108s,PASSED
delay(2),Chrome 72.0.3626.119,Delay,2019-02-28 13:53:04,2019-02-28 13:53:06,2.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/div_Pesanan_Tempatan_Auto""))",Chrome 72.0.3626.119,select PESANAN TEMPATAN AUTO,2019-02-28 13:53:06,2019-02-28 13:53:06,0.091s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_No. Dokumen""), 0)",Chrome 72.0.3626.119,verify No.Dokumen label is present,2019-02-28 13:53:06,2019-02-28 13:53:06,0.037s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Tarikh Dokumen""), 0)",Chrome 72.0.3626.119,verify Tarikh Dokumen label is present,2019-02-28 13:53:06,2019-02-28 13:53:06,0.023s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Pembekal""), 0)",Chrome 72.0.3626.119,verify Pembekal label is present,2019-02-28 13:53:06,2019-02-28 13:53:06,0.028s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Cawangan Pembekal""), 0)",Chrome 72.0.3626.119,verify Cawangan Pembekal label is present,2019-02-28 13:53:06,2019-02-28 13:53:06,0.023s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Sila Bekalkan Sebelum at""), 0)",Chrome 72.0.3626.119,verify Sila Bekalkan Sebelum atau pada label is present,2019-02-28 13:53:06,2019-02-28 13:53:06,0.037s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Pembekal _textbox-icon combo""))",Chrome 72.0.3626.119,Click to select Pembekal drop-down,2019-02-28 13:53:06,2019-02-28 13:53:06,0.149s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Pembekal_AA_DUA""))",Chrome 72.0.3626.119,Select Pembekal from the list,2019-02-28 13:53:06,2019-02-28 13:53:06,0.074s,PASSED
"getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_No.Akaun Pembekal _textb""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,Verify that No Akaun Pembekal is populated,2019-02-28 13:53:06,2019-02-28 13:53:06,0.048s,PASSED
"getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_Cawangan Pembekal _textb""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,Verify that Cawangan Pembekal is populated,2019-02-28 13:53:06,2019-02-28 13:53:06,0.065s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja""))",Chrome 72.0.3626.119,Select date picker,2019-02-28 13:53:06,2019-02-28 13:53:06,0.128s,PASSED
delay(1),Chrome 72.0.3626.119,Delay,2019-02-28 13:53:06,2019-02-28 13:53:07,1.001s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja_Next_Month""))",Chrome 72.0.3626.119,Select for next month from date picker,2019-02-28 13:53:07,2019-02-28 13:53:07,0.085s,PASSED
delay(1),Chrome 72.0.3626.119,Delay,2019-02-28 13:53:07,2019-02-28 13:53:08,1.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja_Date""))",Chrome 72.0.3626.119,Select date,2019-02-28 13:53:08,2019-02-28 13:53:09,0.068s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Text_box_Perihal""), ""This is a test for automation scripts - Julia "" + mydate)",Chrome 72.0.3626.119,Input Perihal details,2019-02-28 13:53:09,2019-02-28 13:53:09,0.238s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-02-28 13:53:09,2019-02-28 13:53:12,3.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_TambahCajLine""))",Chrome 72.0.3626.119,Click button Tambah Caj Line,2019-02-28 13:53:12,2019-02-28 13:53:12,0.178s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Drop_down_Vot_Dana""))",Chrome 72.0.3626.119,Click Vot Dana drop down to select a value,2019-02-28 13:53:12,2019-02-28 13:53:12,0.406s,PASSED
delay(5),Chrome 72.0.3626.119,,2019-02-28 13:53:12,2019-02-28 13:53:17,5.003s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Input_Vot_Dana""), 60)",Chrome 72.0.3626.119,,2019-02-28 13:53:17,2019-02-28 13:53:18,0.108s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Input_Vot_Dana""), ""B31"")",Chrome 72.0.3626.119,,2019-02-28 13:53:18,2019-02-28 13:53:18,0.260s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Vot_Dana_B31""), 60)",Chrome 72.0.3626.119,,2019-02-28 13:53:18,2019-02-28 13:53:18,0.075s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Vot_Dana_B31""))",Chrome 72.0.3626.119,Select Vot Dana B31,2019-02-28 13:53:18,2019-02-28 13:53:18,0.110s,PASSED
delay(3),Chrome 72.0.3626.119,,2019-02-28 13:53:18,2019-02-28 13:53:21,3.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Drop_down_Program_Aktiviti""))",Chrome 72.0.3626.119,Click Program Aktiviti drop down to select a value,2019-02-28 13:53:21,2019-02-28 13:53:21,0.147s,PASSED
