Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01 Pesanan Tempatan Cara Bayaran EFT Tiada Pemfaktoran,Chrome 72.0.3626.121,Perolehan scenario,2019-03-19 11:23:59,2019-03-19 11:37:34,13m - 35.175s,PASSED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.121,Select Perolehan and then select Pesanan Tempatan,2019-03-19 11:23:59,2019-03-19 11:24:42,42.950s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.121,Open browser and input homepage URL ,2019-03-19 11:23:59,2019-03-19 11:24:04,4.634s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.121,Input User Name,2019-03-19 11:24:04,2019-03-19 11:24:05,0.825s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.121,Input Password,2019-03-19 11:24:05,2019-03-19 11:24:05,0.161s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.121,Click on Log Masuk button,2019-03-19 11:24:05,2019-03-19 11:24:06,1.375s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-19 11:24:06,2019-03-19 11:24:09,3.033s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.121,Change role to Penyedia PTJ,2019-03-19 11:24:09,2019-03-19 11:24:32,22.873s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.121,Click on Menu Sisi to display Menu selections,2019-03-19 11:24:32,2019-03-19 11:24:33,0.390s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-19 11:24:33,2019-03-19 11:24:36,3.006s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.121,Select Perolehan Sub-menu,2019-03-19 11:24:36,2019-03-19 11:24:36,0.090s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-19 11:24:36,2019-03-19 11:24:39,3.004s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 72.0.3626.121,Click on Menu sisi,2019-03-19 11:24:39,2019-03-19 11:24:39,0.155s,PASSED
assert true,Chrome 72.0.3626.121,,2019-03-19 11:24:39,2019-03-19 11:24:39,0.001s,PASSED
delay(3),Chrome 72.0.3626.121,Pesanan Tempatan page loaded successfully,2019-03-19 11:24:39,2019-03-19 11:24:42,3.001s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru - EFT,Chrome 72.0.3626.121,this is a test case to create REKOD BARU for Pesanan Tempatan,2019-03-19 11:24:42,2019-03-19 11:26:09,1m - 26.848s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_REKODBARU""))",Chrome 72.0.3626.121,Click on Rekod Baru to create new record,2019-03-19 11:24:42,2019-03-19 11:24:42,0.064s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-19 11:24:42,2019-03-19 11:24:45,3.004s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.121,Get todays year and date,2019-03-19 11:24:45,2019-03-19 11:24:45,0.011s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 72.0.3626.121,Get todays date with format dd/MM/yyyy,2019-03-19 11:24:45,2019-03-19 11:24:45,0.002s,PASSED
