Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Perolehan,Chrome 71.0.3578.98,Perolehan scenario,2019-02-14 09:11:46,2019-02-14 09:15:40,3m - 54.228s,FAILED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 71.0.3578.98,Select Perolehan and then select Pesanan Tempatan,2019-02-14 09:11:46,2019-02-14 09:13:10,1m - 24.459s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 71.0.3578.98,Open browser and input homepage URL ,2019-02-14 09:11:47,2019-02-14 09:11:52,5.100s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 71.0.3578.98,Input User Name,2019-02-14 09:11:52,2019-02-14 09:11:52,0.697s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 71.0.3578.98,Input Password,2019-02-14 09:11:52,2019-02-14 09:11:53,0.151s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 71.0.3578.98,,2019-02-14 09:11:53,2019-02-14 09:12:01,8.427s,PASSED
delay(10),Chrome 71.0.3578.98,,2019-02-14 09:12:01,2019-02-14 09:12:11,10.023s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 71.0.3578.98,,2019-02-14 09:12:11,2019-02-14 09:12:44,32.709s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 71.0.3578.98,Click on Menu Sisi to display Menu selections,2019-02-14 09:12:44,2019-02-14 09:12:44,0.495s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-14 09:12:44,2019-02-14 09:12:47,3.009s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 71.0.3578.98,Select Perolehan Sub-menu,2019-02-14 09:12:47,2019-02-14 09:12:47,0.085s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-14 09:12:47,2019-02-14 09:12:50,3.003s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/div_PesananTempatan""))",Chrome 71.0.3578.98,,2019-02-14 09:12:50,2019-02-14 09:12:50,0.150s,PASSED
delay(20),Chrome 71.0.3578.98,Pesanan Tempatan page loaded successfully,2019-02-14 09:12:50,2019-02-14 09:13:10,20.003s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru,Chrome 71.0.3578.98,,2019-02-14 09:13:10,2019-02-14 09:13:34,23.555s,FAILED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_REKODBARU""))",Chrome 71.0.3578.98,Click on Rekod Baru to create new record,2019-02-14 09:13:11,2019-02-14 09:13:11,0.147s,PASSED
delay(10),Chrome 71.0.3578.98,Delay,2019-02-14 09:13:11,2019-02-14 09:13:21,10.003s,PASSED
