Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
02 Pesanan Tempatan Cara Bayaran CEK Dengan Pemfaktoran,Chrome 72.0.3626.121,,2019-03-19 12:12:27,2019-03-19 12:26:59,14m - 31.559s,PASSED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.121,Select Perolehan and then select Pesanan Tempatan,2019-03-19 12:12:28,2019-03-19 12:13:15,47.637s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.121,Open browser and input homepage URL ,2019-03-19 12:12:28,2019-03-19 12:12:32,4.022s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.121,Input User Name,2019-03-19 12:12:32,2019-03-19 12:12:33,0.802s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.121,Input Password,2019-03-19 12:12:33,2019-03-19 12:12:33,0.162s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.121,Click on Log Masuk button,2019-03-19 12:12:33,2019-03-19 12:12:40,6.766s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-19 12:12:40,2019-03-19 12:12:43,3.023s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.121,Change role to Penyedia PTJ,2019-03-19 12:12:43,2019-03-19 12:13:06,22.792s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.121,Click on Menu Sisi to display Menu selections,2019-03-19 12:13:06,2019-03-19 12:13:06,0.432s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-19 12:13:06,2019-03-19 12:13:09,3.008s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.121,Select Perolehan Sub-menu,2019-03-19 12:13:09,2019-03-19 12:13:09,0.089s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-19 12:13:09,2019-03-19 12:13:12,3.005s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 72.0.3626.121,Click on Menu sisi,2019-03-19 12:13:12,2019-03-19 12:13:12,0.139s,PASSED
assert true,Chrome 72.0.3626.121,,2019-03-19 12:13:12,2019-03-19 12:13:12,0.001s,PASSED
delay(3),Chrome 72.0.3626.121,Pesanan Tempatan page loaded successfully,2019-03-19 12:13:12,2019-03-19 12:13:15,3.002s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/004 Penyedia Rekod Baru - CEK,Chrome 72.0.3626.121,this is a test case to create REKOD BARU for Pesanan Tempatan,2019-03-19 12:13:15,2019-03-19 12:14:53,1m - 37.291s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_REKODBARU""))",Chrome 72.0.3626.121,Click on Rekod Baru to create new record,2019-03-19 12:13:16,2019-03-19 12:13:16,0.122s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-19 12:13:16,2019-03-19 12:13:19,3.002s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.121,Get todays year and date,2019-03-19 12:13:19,2019-03-19 12:13:19,0.008s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 72.0.3626.121,Get todays date with format dd/MM/yyyy,2019-03-19 12:13:19,2019-03-19 12:13:19,0.005s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 72.0.3626.121,Get year with format yyyy,2019-03-19 12:13:19,2019-03-19 12:13:19,0.001s,PASSED
println(formattedDate),Chrome 72.0.3626.121,print date in dd/mm/yyyy format,2019-03-19 12:13:19,2019-03-19 12:13:19,0.003s,PASSED
println(formattedYear),Chrome 72.0.3626.121,print year in yyyy format,2019-03-19 12:13:19,2019-03-19 12:13:19,0.001s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tahun_kewangan""))",Chrome 72.0.3626.121,Get the year of Tahun Kewangan,2019-03-19 12:13:19,2019-03-19 12:13:19,0.082s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 72.0.3626.121,Verify the year is a match,2019-03-19 12:13:19,2019-03-19 12:13:19,0.000s,PASSED
assert true,Chrome 72.0.3626.121,,2019-03-19 12:13:19,2019-03-19 12:13:19,0.000s,PASSED
