Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
03 Inden Kerja Cara Bayaran EFT Dengan Pemfaktoran,Chrome 72.0.3626.121,,2019-03-19 12:28:54,2019-03-19 12:44:53,15m - 59.300s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/005 Inden Kerja - EFT,Chrome 72.0.3626.121,,2019-03-19 12:28:54,2019-03-19 12:30:29,1m - 34.695s,PASSED
"callTestCase(findTestCase(""Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,Call test to open menu sisi and then select pesanan tempatan / inden kerja,2019-03-19 12:28:55,2019-03-19 12:29:43,48.254s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/button_Rekod_Baru""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-19 12:29:43,2019-03-19 12:29:43,0.071s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-19 12:29:43,2019-03-19 12:29:46,3.005s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Jenis_Urusniaga""))",Chrome 72.0.3626.121,Click on drop down Jenis Urusniaga,2019-03-19 12:29:46,2019-03-19 12:29:46,0.091s,PASSED
delay(2),Chrome 72.0.3626.121,delay,2019-03-19 12:29:46,2019-03-19 12:29:48,2.005s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.121,Get todays year and date,2019-03-19 12:29:48,2019-03-19 12:29:48,0.008s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/select_INDEN KERJA AUTO""))",Chrome 72.0.3626.121,Select inden kerja auto from the drop down list,2019-03-19 12:29:48,2019-03-19 12:29:48,0.089s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Pembekal""))",Chrome 72.0.3626.121,click on drop down nama pembekal,2019-03-19 12:29:48,2019-03-19 12:29:48,0.118s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_nama_Pembekal""), ""GREEN MIRACLE ENTERPRISE"")",Chrome 72.0.3626.121,input nama pembekal green miracle enterprise from the drop down list,2019-03-19 12:29:48,2019-03-19 12:29:49,0.784s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/select_Kod_Pembekal_Green_Miracle""))",Chrome 72.0.3626.121,select nama pembekal from the filter result,2019-03-19 12:29:49,2019-03-19 12:29:49,0.081s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Sila_Bekalkan""))",Chrome 72.0.3626.121,click on the calendar date picker for sila bekalkan,2019-03-19 12:29:49,2019-03-19 12:29:49,0.101s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-19 12:29:49,2019-03-19 12:29:52,3.003s,PASSED
